Fleet No,Operational Status,LFB ,Make,Model,Type of Vehicle,Vehicle Category,Reg Year,Vehicle Life
AWD01,ACTIVE,LFB,LANDROVER,CHALLENGER 6x6,6 x 6 All Wheel Drive,N1,2003,10
BFU1,ACTIVE,LFB,Mercedes,Actros,Bulk Foam Unit,N3,2010,15
BFU2,ACTIVE,LFB,Mercedes,Actros,Bulk Foam Unit,N3,2010,15
BFU3,ACTIVE,LFB,Mercedes,Actros,Bulk Foam Unit,N3,2010,15
CC 001,ACTIVE,LFB,Mercedes Benz,Sprinter,Panel Van,N1,2016,4
CE788,TRAINING,LFB,Ford,Mondeo Zetec 1.5 TDCI,Estate Car,M1,2016,5
CE789,TRAINING,LFB,Ford,Mondeo Zetec 1.5 TDCI,Estate Car,M1,2016,5
CH779,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH780,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH781,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH782,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH783,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH784,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH785,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH786,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH787,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH788,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH789,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH791,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH792,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH793,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH794,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH795,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH796,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH798,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH799,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH800,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH801,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH802,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH803,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH804,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH805,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH806,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH807,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH808,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH809,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH811,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH812,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH813,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH814,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH815,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH817,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH818,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH820,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH821,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH822,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH823,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH824,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH826,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH827,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH828,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH830,ACTIVE,LFB,BMW,i3 AC REx,Car,M1,2016,5
CH831,ACTIVE,LFB,Mitsubishi,Outlander ,Car,M1,2019,5
CH832,ACTIVE,LFB,Mitsubishi,Outlander ,Car,M1,2019,5
CH833,ACTIVE,LFB,Mitsubishi,Outlander ,Car,M1,2019,5
CH834,ACTIVE,LFB,Mitsubishi,RX1 Outlander Juro PHEV Auto,Car,M1,2019,5
CH835,ACTIVE,LFB,Mitsubishi,RX1 Outlander Juro PHEV Auto,Car,M1,2019,5
CH836,ACTIVE,LFB,Mitsubishi,RX1 Outlander Juro PHEV Auto,Car,M1,2019,5
CH837,ACTIVE,LFB,Mitsubishi,RX1 Outlander Juro PHEV Auto,Car,M1,2019,5
CH838,ACTIVE,LFB,Mitsubishi,RX1 Outlander Juro PHEV Auto,Car,M1,2019,5
